시군구명,행정동명,학생수 계,국공립 학생수 계,국공립 학생수 비율
강남구,개포동,9896,9305,0.940278901
강남구,논현동,1379,1379,1
강남구,대치동,9332,4521,0.484462066
강남구,도곡동,10482,4488,0.428162564
강남구,삼성동,4485,4485,1
강남구,세곡동,1924,1924,1
강남구,수서동,2911,1239,0.425626932
강남구,신사동,2333,1067,0.45735105
강남구,압구정동,4164,4164,1
강남구,역삼동,5806,3305,0.569238719
강남구,일원동,6969,3470,0.497919357
강남구,청담동,4591,3008,0.655194947
강동구,강일동,4592,4592,1
강동구,고덕동,8381,4117,0.491230163
강동구,길동,3622,3622,1
강동구,둔촌동,7673,5250,0.684217386
강동구,명일동,3662,3662,1
강동구,상일동,7925,1036,0.130725552
강동구,성내동,3024,3024,1
강동구,암사동,5571,5571,1
강동구,천호동,6113,4135,0.676427286
강북구,번동,4167,4167,1
강북구,삼각산동,3665,3665,1
강북구,삼양동,2682,2682,1
강북구,송중동,3819,1732,0.453521864
강북구,송천동,4751,661,0.139128605
강북구,수유동,4401,4401,1
강북구,인수동,2890,2890,1
강서구,가양동,4891,3738,0.764260887
강서구,공항동,1821,1821,1
강서구,등촌동,14802,7517,0.507836779
강서구,발산동,15020,5097,0.339347537
강서구,방화동,8372,6444,0.769708552
강서구,염창동,4874,4874,1
강서구,우장산동,2068,2068,1
강서구,화곡동,10534,8545,0.811182837
관악구,낙성대동,1412,1412,1
관악구,난곡동,3063,1328,0.433561867
관악구,난향동,1071,1071,1
관악구,남현동,784,784,1
관악구,대학동,2699,1622,0.60096332
관악구,미성동,5757,3895,0.676567657
관악구,보라매동,2708,2708,1
관악구,삼성동,3096,1016,0.328165375
관악구,서림동,1249,1249,1
관악구,서원동,442,442,1
관악구,성현동,5400,5400,1
관악구,신사동,708,708,1
관악구,신원동,881,881,1
관악구,은천동,2020,1270,0.628712871
관악구,인헌동,1619,1619,1
관악구,조원동,627,627,1
관악구,중앙동,472,472,1
관악구,청룡동,5037,1827,0.362715902
관악구,행운동,2981,2364,0.793022476
광진구,광장동,8566,8566,1
광진구,구의동,4577,2558,0.558881363
광진구,군자동,967,603,0.623578077
광진구,자양동,9912,9275,0.935734463
광진구,중곡동,8184,4099,0.500855327
광진구,화양동,3853,1547,0.401505321
구로구,가리봉동,424,424,1
구로구,개봉동,5634,5634,1
구로구,고척동,8169,8169,1
구로구,구로동,12369,12369,1
구로구,수궁동,5863,1467,0.250213201
구로구,신도림동,4157,4157,1
구로구,오류동,5631,4695,0.833777304
금천구,독산동,8981,8981,1
금천구,시흥동,13233,7644,0.577646792
노원구,공릉동,10706,7094,0.662619092
노원구,상계동,27158,20826,0.766845865
노원구,월계동,11028,6363,0.576985854
노원구,중계동,24602,12478,0.507194537
노원구,하계동,10966,7943,0.724329746
도봉구,도봉동,4909,4909,1
도봉구,방학동,7403,7403,1
도봉구,쌍문동,12799,6854,0.535510587
도봉구,창동,12626,11761,0.931490575
동대문구,답십리,507,507,1
동대문구,답십리동,1877,1877,1
동대문구,용신동,2057,496,0.241127856
동대문구,이문동,931,931,1
동대문구,장안동,6234,3393,0.54427334
동대문구,전농동,6603,5037,0.762835075
동대문구,제기동,2373,1580,0.665823852
동대문구,청량리동,2301,2301,1
동대문구,회기동,5450,1014,0.186055046
동대문구,휘경동,5927,4046,0.682638772
동작구,노량진동,1688,1688,1
동작구,대방동,10617,6540,0.615993218
동작구,사당동,8033,7227,0.899663886
동작구,상도동,6839,6839,1
동작구,신대방,2928,2928,1
동작구,신대방동,2518,2518,1
동작구,흑석동,3599,1232,0.34231731
마포구,공덕동,2770,1359,0.490613718
마포구,대흥동,2456,1192,0.48534202
마포구,도화동,952,952,1
마포구,망원동,1714,1714,1
마포구,상암동,4990,4990,1
마포구,서강동,1026,1026,1
마포구,서교동,1016,1016,1
마포구,성산동,8001,5919,0.739782527
마포구,신수동,2779,1394,0.501619288
마포구,아현동,1236,847,0.685275081
마포구,염리동,3231,1720,0.532342928
마포구,용강동,1088,1088,1
마포구,합정동,1867,1867,1
서대문구,남가좌동,2596,2596,1
