place,type,address,시군구명,동명
삼성서울병원2어린이집 실내놀이시설,어린이집,"서울특별시 강남구 양재대로55길 12 (일원동, 수서아파트).",강남구,일원동
서울학동초등학교 병설유치원 놀이시설,유치원,서울특별시 강남구 선릉로115길 42 (논현동)학동초병설유치원,강남구,논현동
디에이치 포레센트 어린이놀이터(103동 옆),주택단지,서울특별시 강남구 개포로110길 34 (일원동),강남구,일원동
네오플강남어린이집 실외놀이터,어린이집,서울특별시 강남구 강남대로110길 36 (역삼동),강남구,역삼동
캘리클럽키즈카페,놀이제공영업소,서울특별시 강남구 선릉로 832 (청담동)지하2층,강남구,청담동
강남드림빌 어린이놀이터,아동복지시설,서울특별시 강남구 양재대로 344-27 (개포동),강남구,개포동
개포래미안포레스트 유아놀이터2(보육시설.옥상),주택단지,서울특별시 강남구 언주로 21 (개포동),강남구,개포동
개포래미안포레스트 유아놀이터1(124동뒤),주택단지,서울특별시 강남구 언주로 21 (개포동),강남구,개포동
개포래미안포레스트 어린이놀이터6(129동),주택단지,서울특별시 강남구 언주로 21 (개포동),강남구,개포동
개포래미안포레스트 어린이놀이터5(123동),주택단지,서울특별시 강남구 언주로 21 (개포동),강남구,개포동
개포래미안포레스트 어린이놀이터4(118동),주택단지,서울특별시 강남구 언주로 21 (개포동),강남구,개포동
개포래미안포레스트 어린이놀이터3(114동),주택단지,서울특별시 강남구 언주로 21 (개포동),강남구,개포동
개포래미안포레스트 어린이놀이터2(110동),주택단지,서울특별시 강남구 언주로 21 (개포동),강남구,개포동
개포래미안포레스트 어린이놀이터1(105동),주택단지,서울특별시 강남구 언주로 21 (개포동),강남구,개포동
세곡동주민센터 정글짐,어린이집,서울특별시 강남구 밤고개로 286 (율현동),강남구,율현동
포스코제1어린이집 실내놀이시설,어린이집,서울특별시 강남구 테헤란로 440 (대치동),강남구,대치동
달터공원 유아놀이터,도시공원,서울특별시 강남구 개포로28길 47 (개포동),강남구,개포동
미미위 클린 놀이터,어린이집,서울특별시 강남구 도곡로18길 57 (도곡동),강남구,도곡동
브라보키즈프리미어,놀이제공영업소,서울특별시 강남구 일원로 115 (일원동)지하 1층,강남구,일원동
신한마리오어린이집,어린이집,서울특별시 강남구 테헤란로30길 27 (역삼동),강남구,역삼동
서울학동초등학교 어린이놀이시설,학교,서울특별시 강남구 선릉로115길 42 (논현동),강남구,논현동
디에이치 아너힐즈 어린이놀이터3(317동 앞),주택단지,"서울특별시 강남구 삼성로 11 (개포동, 디에이치 아너힐즈(현장사무소)).",강남구,개포동
디에이치 아너힐즈 어린이놀이터2(311동 옆),주택단지,"서울특별시 강남구 삼성로 11 (개포동, 디에이치 아너힐즈(현장사무소)).",강남구,개포동
디에이치 아너힐즈 어린이놀이터1(321동 앞),주택단지,"서울특별시 강남구 삼성로 11 (개포동, 디에이치 아너힐즈(현장사무소)).",강남구,개포동
대림아크로빌,주택단지,"서울특별시 강남구 언주로30길 13 (도곡동, 대림아크로빌, 대림아크로텔)2층",강남구,도곡동
대치어린이집 실내 놀이터,어린이집,서울특별시 강남구 영동대로65길 11 (대치동).,강남구,대치동
오르다어린이집 지하 내 실내놀이시설,어린이집,서울특별시 강남구 봉은사로73길 3-4 (삼성동).,강남구,삼성동
오르다어린이집 4층 내 실내놀이시설,어린이집,서울특별시 강남구 봉은사로73길 3-4 (삼성동).,강남구,삼성동
래미안블레스티지 내 실내놀이시설,주택단지,서울특별시 강남구 선릉로 8 (개포동)래미안블레스티지 커뮤니티센터,강남구,개포동
도곡렉슬유치원,유치원,"서울특별시 강남구 선릉로 221 (도곡동, 도곡렉슬아파트)",강남구,도곡동
개포근린공원,도시공원,서울특별시 강남구 선릉로4길 30 (개포동)(개포동 139),강남구,개포동
래미안블레스티지 217동 놀이터,주택단지,서울특별시 강남구 선릉로4길 22 (개포동),강남구,개포동
래미안블레스티지 216동 놀이터,주택단지,서울특별시 강남구 선릉로4길 22 (개포동),강남구,개포동
래미안블레스티지 214동 놀이터,주택단지,서울특별시 강남구 선릉로4길 22 (개포동),강남구,개포동
래미안블레스티지 211동 놀이터,주택단지,서울특별시 강남구 선릉로4길 22 (개포동),강남구,개포동
래미안블레스티지 206동 놀이터,주택단지,서울특별시 강남구 선릉로4길 22 (개포동),강남구,개포동
래미안블레스티지 203동 놀이터,주택단지,서울특별시 강남구 선릉로4길 22 (개포동),강남구,개포동
래미안루체하임아파트 110동 놀이터,주택단지,서울특별시 강남구 일원동689-1,강남구,일원동
래미안루체하임아파트 107동 놀이터,주택단지,서울특별시 강남구 일원동689-1,강남구,일원동
래미안루체하임아파트 105동 놀이터,주택단지,서울특별시 강남구 일원동689-1,강남구,일원동
참이맛감자탕 자곡점,식품접객업소,서울특별시 강남구 밤고개로 219 (자곡동)202호,강남구,자곡동
GKL행복(강남 코엑스2호점),어린이집,서울특별시 강남구 봉은사로68길 27 (삼성동),강남구,삼성동
삼성동센트럴아이파크아파트 303동 앞,주택단지,"서울특별시 강남구 삼성로 629 (삼성동, 삼성동 센트럴 IPARK)아이파크아파트",강남구,삼성동
삼성동센트럴파크아파트 304동 옆,주택단지,"서울특별시 강남구 삼성로 629 (삼성동, 삼성동 센트럴 IPARK)삼성동 센트럴아이파크",강남구,삼성동
더아이노블강남본원어학원,학원,"서울특별시 강남구 남부순환로378길 20 (도곡동)2,3,4,5층(도곡동 더피크빌딩)",강남구,도곡동
무역센터 꿈나무어린이집,어린이집,서울특별시 강남구 봉은사로 524 (삼성동)코엑스 컨벤션 센터,강남구,삼성동
강남유정유치원 실내놀이터,유치원,서울특별시 강남구 광평로34길 17 (수서동)강남유정유치원,강남구,수서동
키다모(KIDAMO),놀이제공영업소,서울특별시 강남구 선릉로152길 37 (청담동)1층,강남구,청담동
키즈플레닛키즈카페,놀이제공영업소,"서울특별시 강남구 삼성로135길 28 (청담동, 골든아트빌)지하1층",강남구,청담동
세아별어린이집(실내),어린이집,"서울특별시 강남구 영동대로 325 (대치동, 해암빌딩)2층",강남구,대치동
영희스포츠센터 실내놀이터(영희야 놀자),놀이제공영업소,서울특별시 강남구 일원로 21 (일원동),강남구,일원동
수서릴리펏,놀이제공영업소,서울특별시 강남구 밤고개로21길 73 (율현동)3층,강남구,율현동
역삼릴리펏,놀이제공영업소,서울특별시 강남구 언주로 337 (역삼동)동영문화센터 1층,강남구,역삼동
원더볼즈 플레이파크 청담점 놀이시설,놀이제공영업소,서울특별시 강남구 학동로101길 15 (청담동)청구빌딩 3층,강남구,청담동
한섬어린이집,어린이집,서울특별시 강남구 언주로 808 (신사동)유성빌딩 7층,강남구,신사동
동원어린이집,어린이집,서울특별시 강남구 개포로15길 35 (개포동),강남구,개포동
한국외국인학교,학교,서울특별시 강남구 개포로 408 (개포동)한국외국인학교,강남구,개포동
래미안대치팰리스아파트 키즈룸,주택단지,"서울특별시 강남구 삼성로51길 37 (대치동, 래미안 대치 팰리스(1단지))",강남구,대치동
점핑플레이키즈카페,놀이제공영업소,서울특별시 강남구 자곡로 106 (자곡동)4층,강남구,자곡동
강남더샵포레스트 어린이놀이터 (숲 속 놀이터),주택단지,"서울특별시 강남구 광평로34길 35 (수서동, 강남더샵포레스트아파트)수서동 537",강남구,수서동
강남더샵포레스트 어린이놀이터 (모험 놀이터),주택단지,"서울특별시 강남구 광평로34길 35 (수서동, 강남더샵포레스트아파트)수서동 537",강남구,수서동
"역삼자이 아파트 어린이놀이터(101동, 102동 사이)",주택단지,"서울특별시 강남구 언주로 420 (역삼동, 역삼자이아파트)",강남구,역삼동
역삼자이 아파트 (103동 뒤),주택단지,"서울특별시 강남구 언주로 420 (역삼동, 역삼자이아파트)",강남구,역삼동
율현공원 어린이놀이터 2(서울시),도시공원,서울 강남구 율현동68-3번지 택지지구내 근리공원4호 어린이놀이터,강남구,율현동
"한라 비발디아파트 1,2호라인 필로티 내부",주택단지,"서울특별시 강남구 남부순환로365길 33 (도곡동, 도곡 한라비발디 아파트)",강남구,도곡동
