자치구,5대 범죄 발생건수,유흥업소 수
강남구,"8,539 ",580.7 
강동구,"5,031 ",240.0 
강북구,"4,172 ",201.0 
강서구,"5,441 ",284.0 
관악구,"6,268 ",317.7 
광진구,"5,833 ",105.7 
구로구,"5,467 ",134.7 
금천구,"3,756 ",136.3 
노원구,"4,995 ",82.3 
도봉구,"2,742 ",77.0 
동대문구,"4,623 ",191.0 
동작구,"3,723 ",101.0 
마포구,"5,822 ",151.0 
서대문구,"3,963 ",96.0 
서초구,"5,330 ",190.3 
성동구,"3,322 ",75.0 
성북구,"4,168 ",78.7 
송파구,"6,957 ",283.7 
양천구,"4,427 ",82.7 
영등포구,"6,731 ",448.7 
용산구,"3,919 ",150.7 
은평구,"4,892 ",227.7 
종로구,"4,728 ",345.0 
중구,"4,923 ",350.7 
중랑구,"5,196 ",130.3 
