이름,설립,현원,시군구명,행정동명
꿈빛어린이집,국공립,14,마포구,아현동
푸르니어린이집,국공립,19,구로구,신도림동
동심어린이집,국공립,30,중랑구,망우동
하영어린이집,국공립,19,구로구,신도림동
구립 우장숲어린이집,국공립,43,강서구,우장산동
한나어린이집,가정,18,서대문구,남가좌동
도토리집공동육아어린이집,협동,15,강북구,인수동
서초구립 래미안리더스원어린이집,국공립,41,서초구,서초동
삼성어린이집,국공립,71,동대문구,장안동
보배사랑어린이집,국공립,15,구로구,고척동
구립 이든아이어린이집,국공립,40,강서구,화곡동
한별어린이집,국공립,23,서대문구,충현동
구립대우주어린이집,국공립,20,강서구,화곡동
서초구립 센트럴아이파크어린이집,국공립,25,서초구,서초동
위례푸른숲어린이집,국공립,57,송파구,위례동
도토리소풍넥슨 강남어린이집,직장,18,강남구,역삼동
현대오토에버 늘해랑어린이집,직장,5,강남구,대치동
쿠팡(위례)어린이집,직장,2,송파구,위례동
포레스트어린이집,국공립,41,강남구,개포동
구립 샘물어린이집,국공립,19,광진구,자양동
빛의숲어린이집,가정,20,강남구,압구정동
거여사과나무어린이집,국공립,19,송파구,거여동
송파아이숲어린이집,가정,11,송파구,거여동
구립늘해랑어린이집,국공립,55,강동구,고덕동
새솔아델포레어린이집,국공립,50,영등포구,대림동
신아푸르지오 어린이집,민간,4,은평구,진관동
사가정 아이파크어린이집,국공립,48,중랑구,면목동
꿈빛 어린이집,국공립,19,성북구,종암동
라온어린이집,국공립,23,중랑구,면목동
서울도봉경찰서어린이집,직장,27,도봉구,창동
중앙그룹직장어린이집,직장,25,마포구,상암동
카페24직장어린이집,직장,14,관악구,보라매동
별하어린이집,국공립,36,구로구,오류동
당산2동센트럴아이파크별하어린이집,국공립,23,영등포구,당산동
방이즐거운어린이집,국공립,67,송파구,방이동
송파파크센트럴어린이집,국공립,54,송파구,거여동
구립키즈맘어린이집,국공립,20,관악구,보라매동
현대모비스모아어린이집,직장,9,강남구,역삼동
해바라기어린이집,국공립,44,구로구,오류동
참누리어린이집,국공립,71,구로구,개봉동
구립강동든든어린이집,국공립,69,강동구,강일동
당산2동은솔어린이집,국공립,104,영등포구,당산동
아이누리어린이집,국공립,19,성북구,길음동
서울지방국세청 우리누리어린이집,직장,14,종로구,종로동
서초구립 반포센트럴자이어린이집,국공립,40,서초구,반포동
서울남부지방법원 직장어린이집,직장,28,양천구,신정동
두빛나래터발도르프어린이집,협동,8,강서구,등촌동
아이키움문래어린이집,민간,58,영등포구,문래동
구립 물빛캐슬어린이집,국공립,71,은평구,수색동
다올어린이집,국공립,21,마포구,서교동
늘봄어린이집,민간,20,동대문구,휘경동
구립에코포레어린이집,국공립,21,강동구,길동
날아라어린이집,국공립,26,구로구,오류동
구립 나래어린이집,국공립,65,양천구,신월동
구립 가온어린이집,국공립,57,양천구,신월동
새우개 하나어린이집,국공립,34,중랑구,신내동
한나무어린이집,가정,15,도봉구,창동
구립 마루어린이집,국공립,61,양천구,신월동
거여키즈어린이집,국공립,19,송파구,거여동
구립다움어린이집,국공립,30,동작구,사당동
영등포든든어린이집,국공립,44,영등포구,대림동
구립 응암샛별어린이집,국공립,91,은평구,응암동
구립 응암행복어린이집,국공립,86,은평구,응암동
신촌그랑어린이집,국공립,51,마포구,대흥동
이삭숲어린이집,민간,45,강동구,고덕동
서대문든든어린이집,국공립,67,서대문구,남가좌동
한샘어린이집,직장,12,서초구,방배동
행복타운어린이집,직장,18,마포구,공덕동
모두의 숲 어린이집,직장,25,성동구,성수동
신길센트럴자이 솔빛 어린이집,국공립,58,영등포구,신길동
구립아이와나무어린이집,국공립,39,광진구,중곡동
한국환경산업기술원 초록꿈나무 직장어린이집,직장,23,은평구,불광동
구립 신태양어린이집,국공립,91,강서구,화곡동
엔젤어린이집,국공립,20,구로구,구로동
꼬마사랑어린이집,국공립,36,중랑구,면목동
구립인헌어린이집,국공립,18,관악구,인헌동
구립 이든어린이집,국공립,37,은평구,응암동
서비스에이스 하람어린이집,직장,35,영등포구,문래동
우아한어린이집,직장,35,송파구,방이동
국립중앙박물관 해누림 어린이집,직장,16,용산구,서빙고동
목멱어린이집,국공립,11,용산구,이태원동
GS예원어린이집,국공립,21,마포구,신수동
월드컵어린이집,국공립,38,마포구,상암동
한빛어린이집,국공립,19,동대문구,이문동
푸른숲어린이집,국공립,47,중랑구,면목동
웃음가득어린이집,가정,17,도봉구,도봉동
아름드리어린이집,국공립,42,마포구,상암동
늘품자연어린이집,국공립,82,서대문구,남가좌동
구립우리아이어린이집,국공립,26,광진구,구의동
신촌숲어린이집,국공립,66,마포구,신수동
CJ키즈빌어린이집,직장,50,서초구,방배동
라이나생명 키즈나루 어린이집,직장,14,종로구,종로동
서초구립 롯데캐슬킨더어린이집,국공립,42,서초구,서초동
서초구립 대우효령어린이집,국공립,16,서초구,방배동
노원든든어린이집,국공립,38,노원구,월계동
구립 내일어린이집,국공립,55,은평구,응암동
삼성영재어린이집,국공립,19,서대문구,남가좌동
상계해솔어린이집,국공립,57,노원구,상계동
구립 새하늘어린이집,국공립,78,강서구,화곡동
구립삼성어린이집,국공립,41,강북구,수유동
구립 성수아이파크어린이집,국공립,26,성동구,성수동
수자인어린이집,국공립,23,중랑구,면목동
포스코 제2 어린이집,직장,70,강남구,대치동
신동아어린이집,국공립,27,강남구,세곡동
구립 해담어린이집,국공립,67,강서구,방화동
단비어린이집,가정,12,도봉구,도봉동
호호어린이집,국공립,41,노원구,월계동
무지개어린이집,국공립,19,도봉구,창동
