행정동코드,시군구명,동명,총 거주자수,총생활인구수,세대수,0-9세,10-19세
11110515,종로구,청운효자동,12057,14498.6846,"5,098",1092,1430
11110530,종로구,사직동,9080,14317.4049,"4,431",807,916
11110540,종로구,삼청동,2492,4313.1719,"1,220",170,269
11110550,종로구,부암동,9669,15668.0036,"4,133",774,1493
11110560,종로구,평창동,17918,19503.3436,"7,217",1295,1917
11110570,종로구,무악동,8329,8486.5216,"3,033",686,963
11110580,종로구,교남동,10218,6391.6897,"4,397",572,620
11110600,종로구,가회동,4120,5110.3152,"1,909",293,400
11110615,종로구,종로가동,6535,19202.7962,"4,656",550,546
11110630,종로구,종로가동,5050,9103.5142,"3,255",173,434
11110640,종로구,이화동,7285,14107.5657,"4,186",442,824
11110650,종로구,혜화동,16409,25787.249,"9,051",1057,2428
11110670,종로구,창신동,4821,8843.3384,"2,676",179,316
11110680,종로구,창신동,8062,11042.7503,"3,964",358,820
11110690,종로구,창신동,6762,5362.3829,"2,776",395,472
11110700,종로구,숭인동,5929,7703.0946,"2,918",343,415
11110710,종로구,숭인동,9281,12535.9708,"5,814",440,552
11140520,중구,소공동,1984,6445.1118,"1,057",260,190
11140540,중구,회현동,4532,8013.3688,"2,498",212,250
11140550,중구,명동,2673,7431.6213,"1,354",120,252
11140570,중구,필동,3808,6391.808,"2,242",286,351
11140580,중구,장충동,4534,7401.6814,"2,655",142,377
11140590,중구,광희동,4906,13837.122,"3,029",208,403
11140605,중구,을지로동,1646,6626.1896,"1,217",92,138
11140615,중구,신당동,7461,25693.2161,"4,427",341,569
11140625,중구,다산동,13905,14602.8247,"6,710",698,936
11140635,중구,약수동,16736,17910.1865,"7,498",1110,956
11140645,중구,청구동,13751,14208.0306,"6,182",969,1078
11140650,중구,신당동,10290,10666.0687,"5,188",755,644
11140665,중구,동화동,10430,9870.4003,"3,996",664,827
11140670,중구,황학동,12289,13521.8883,"6,694",960,594
11140680,중구,중림동,12168,7993.5323,"5,563",529,391
11170510,용산구,후암동,16977,15948.5548,"8,131",722,1071
11170520,용산구,용산동,9527,12152.1993,"5,031",420,639
11170530,용산구,남영동,7007,8741.0204,"4,839",260,445
11170555,용산구,청파동,19210,21229.5982,"10,612",837,1548
11170560,용산구,원효로동,15664,19135.7085,"7,732",1296,1026
11170570,용산구,원효로동,13777,13915.1877,"5,729",851,1276
11170580,용산구,효창동,10002,10780.1492,"4,227",743,912
11170590,용산구,용문동,12053,11192.482,"5,239",860,994
11170625,용산구,한강로동,19473,31426.8923,"10,115",1603,1612
11170630,용산구,이촌동,26865,27739.4003,"9,566",2694,2683
11170640,용산구,이촌동,8488,7122.8738,"3,680",435,417
11170650,용산구,이태원동,6234,9712.0241,"3,362",284,414
11170660,용산구,이태원동,8637,12401.0417,"4,542",500,591
11170685,용산구,한남동,19835,25541.9247,"10,434",1262,1258
11170690,용산구,서빙고동,12804,15738.5712,"5,073",890,1619
11170700,용산구,보광동,13563,12003.349,"7,250",345,635
11200520,성동구,왕십리동,16729,16866.9478,"7,352",1244,1373
11200535,성동구,왕십리도선동,26631,28306.6336,"11,691",2724,1656
11200540,성동구,마장동,22484,23564.4326,"10,656",1418,1935
11200550,성동구,사근동,11731,17337.3811,"7,641",636,1217
11200560,성동구,행당동,13816,15602.7595,"6,238",805,1262
11200570,성동구,행당동,23728,23276.518,"9,238",2024,2234
11200580,성동구,응봉동,15539,13996.2684,"5,955",1001,1334
11200590,성동구,금호동,15487,17276.2594,"6,541",1224,1432
11200615,성동구,금호동,22915,23904.3076,"9,936",2059,1858
11200620,성동구,금호동,14474,13418.8113,"6,282",1182,826
11200645,성동구,옥수동,26062,30816.9959,"10,703",2975,1854
11200650,성동구,성수동,16244,15796.8099,"7,440",964,1122
11200660,성동구,성수동,13185,15509.7381,"6,306",952,982
11200670,성동구,성수동,16256,18071.2785,"8,188",986,1145
11200690,성동구,성수동,10923,20540.9298,"5,506",1243,1092
11200720,성동구,송정동,10524,11478.9239,"5,410",401,622
11200790,성동구,용답동,11526,18229.3986,"6,638",595,1138
11215710,광진구,화양동,22178,30518.3602,"16,646",653,1385
11215730,광진구,군자동,19625,19701.629,"10,911",808,1300
11215740,광진구,중곡동,15519,17325.7008,"8,119",978,977
11215750,광진구,중곡동,21644,20266.1546,"10,392",1303,1450
11215760,광진구,중곡동,16394,17728.5333,"8,339",990,1242
11215770,광진구,중곡동,28975,29452.8371,"12,947",1652,2156
11215780,광진구,능동,11426,13445.7713,"6,361",726,736
11215810,광진구,광장동,35065,39058.5271,"11,836",3766,6464
11215820,광진구,자양동,22413,26546.9437,"11,568",1105,1710
