학교명,설립,시군구명,행정동명,학생수 계
서울안산초등학교,공립,서대문구,홍제동,839
서울역촌초등학교,공립,은평구,역촌동,1764
서울연가초등학교,공립,서대문구,남가좌동,1736
서울연광초등학교,공립,은평구,불광동,454
서울연신초등학교,공립,은평구,불광동,385
서울연은초등학교,공립,은평구,응암동,557
서울연천초등학교,공립,은평구,불광동,339
서울연희초등학교,공립,서대문구,연희동,1197
서울염리초등학교,공립,마포구,용강동,1088
서울용강초등학교,공립,마포구,대흥동,506
서울은명초등학교,공립,은평구,응암동,1485
서울은빛초등학교,공립,은평구,진관동,1240
서울은진초등학교,공립,은평구,진관동,684
서울은평초등학교,공립,은평구,녹번동,942
서울응암초등학교,공립,은평구,응암동,927
서울인왕초등학교,공립,서대문구,홍제동,705
서울중동초등학교,공립,마포구,성산동,593
서울증산초등학교,공립,은평구,증산동,954
서울진관초등학교,공립,은평구,진관동,1062
서울창서초등학교,공립,서대문구,신촌동,250
서울창천초등학교,공립,마포구,대흥동,224
서울하늘초등학교,공립,마포구,상암동,1069
서울한서초등학교,공립,마포구,염리동,205
서울홍연초등학교,공립,서대문구,홍은동,957
서울홍은초등학교,공립,서대문구,홍제동,522
서울홍제초등학교,공립,서대문구,홍은동,1120
경기초등학교,사립,서대문구,충현동,691
명지초등학교,사립,서대문구,홍은동,715
선일초등학교,사립,은평구,갈현동,506
알로이시오초등학교,사립,은평구,응암동,133
예일초등학교,사립,은평구,구산동,609
은혜초등학교,사립,은평구,불광동,243
이화여자대학교사범대학부속초등학교,사립,서대문구,신촌동,640
추계초등학교,사립,서대문구,충현동,292
충암초등학교,사립,은평구,응암동,728
홍익대학교사범대학부속초등학교,사립,마포구,성산동,521
서울가산초등학교,공립,금천구,독산동,419
서울개명초등학교,공립,구로구,개봉동,672
서울개봉초등학교,공립,구로구,개봉동,1357
서울개웅초등학교,공립,구로구,개봉동,736
서울고산초등학교,공립,구로구,고척동,602
서울고원초등학교,공립,구로구,고척동,820
서울고척초등학교,공립,구로구,고척동,528
서울구로남초등학교,공립,구로구,구로동,703
서울구로초등학교,공립,구로구,구로동,645
서울구일초등학교,공립,구로구,구로동,1237
서울금동초등학교,공립,금천구,시흥동,1032
서울금산초등학교,공립,금천구,시흥동,384
서울금천초등학교,공립,금천구,시흥동,207
서울당산초등학교,공립,영등포구,양평동,558
서울당서초등학교,공립,영등포구,당산동,1185
서울당중초등학교,공립,영등포구,양평동,643
서울대길초등학교,공립,영등포구,신길동,778
서울대동초등학교,공립,영등포구,대림동,513
서울군자초등학교,공립,동대문구,장안동,416
서울답십리초등학교,공립,동대문구,답십리동,765
서울동답초등학교,공립,동대문구,답십리동,539
서울동원초등학교,공립,중랑구,망우동,462
서울망우초등학교,공립,중랑구,망우동,547
서울면남초등학교,공립,중랑구,면목동,456
서울면동초등학교,공립,중랑구,면목동,1219
서울면목초등학교,공립,중랑구,면목동,916
서울면북초등학교,공립,중랑구,망우동,204
서울면일초등학교,공립,중랑구,망우동,990
서울면중초등학교,공립,중랑구,면목동,419
서울묵동초등학교,공립,중랑구,중화동,561
서울묵현초등학교,공립,중랑구,묵동,625
서울배봉초등학교,공립,동대문구,전농동,678
서울봉화초등학교,공립,중랑구,신내동,863
서울상봉초등학교,공립,중랑구,상봉동,758
서울새솔초등학교,공립,중랑구,신내동,331
서울신내초등학교,공립,중랑구,신내동,895
서울신답초등학교,공립,동대문구,답십리동,573
서울신묵초등학교,공립,중랑구,묵동,530
서울신현초등학교,공립,중랑구,신내동,693
서울안평초등학교,공립,동대문구,장안동,1027
서울용두초등학교,공립,동대문구,용신동,496
서울원묵초등학교,공립,중랑구,묵동,1046
서울이문초등학교,공립,동대문구,이문동,931
서울장평초등학교,공립,동대문구,장안동,1074
서울전곡초등학교,공립,동대문구,전농동,762
서울전농초등학교,공립,동대문구,전농동,647
서울전동초등학교,공립,동대문구,전농동,816
서울종암초등학교,공립,동대문구,제기동,679
서울중곡초등학교,공립,중랑구,면목동,1240
서울중랑초등학교,공립,중랑구,면목동,837
서울중목초등학교,공립,중랑구,면목동,610
서울중화초등학교,공립,중랑구,신내동,1422
서울중흥초등학교,공립,중랑구,중화동,425
서울청량초등학교,공립,동대문구,회기동,1014
서울홍릉초등학교,공립,동대문구,청량리동,516
서울홍파초등학교,공립,동대문구,제기동,479
서울휘경초등학교,공립,동대문구,휘경동,497
서울휘봉초등학교,공립,동대문구,휘경동,891
경희초등학교,사립,동대문구,회기동,709
금성초등학교,사립,중랑구,신내동,601
서울삼육초등학교,사립,동대문구,회기동,731
은석초등학교,사립,동대문구,장안동,756
서울갈현초등학교,공립,은평구,갈현동,1550
서울고은초등학교,공립,서대문구,홍제동,569
서울공덕초등학교,공립,마포구,공덕동,806
서울구산초등학교,공립,은평구,구산동,1094
서울구현초등학교,공립,은평구,구산동,712
서울금화초등학교,공립,서대문구,천연동,571
서울녹번초등학교,공립,은평구,녹번동,1045
서울대신초등학교,공립,서대문구,신촌동,257
서울대은초등학교,공립,은평구,대조동,472
서울대조초등학교,공립,은평구,대조동,1114
서울동교초등학교,공립,마포구,망원동,1342
서울마포초등학교,공립,마포구,도화동,952
서울망원초등학교,공립,마포구,망원동,372
서울미동초등학교,공립,서대문구,충현동,651
서울북가좌초등학교,공립,서대문구,북가좌동,1470
서울북성초등학교,공립,서대문구,북아현동,358
서울북한산초등학교,공립,은평구,진관동,125
서울불광초등학교,공립,은평구,불광동,1065
서울상신초등학교,공립,은평구,신사동,745
서울상암초등학교,공립,마포구,상암동,845
서울상지초등학교,공립,마포구,상암동,905
서울서강초등학교,공립,마포구,서강동,1026
서울서교초등학교,공립,마포구,서교동,1016
서울서신초등학교,공립,은평구,신사동,762
서울성산초등학교,공립,마포구,합정동,975
서울성서초등학교,공립,마포구,성산동,803
서울성원초등학교,공립,마포구,성산동,763
서울소의초등학교,공립,마포구,공덕동,553
서울수리초등학교,공립,은평구,불광동,524
서울수색초등학교,공립,은평구,수색동,588
서울신도초등학교,공립,은평구,진관동,1124
서울신북초등학교,공립,마포구,성산동,1180
서울신사초등학교,공립,은평구,신사동,556
서울신석초등학교,공립,마포구,신수동,794
서울아현초등학교,공립,마포구,아현동,366
서울대방초등학교,공립,영등포구,신길동,445
서울대영초등학교,공립,영등포구,신길동,639
서울덕의초등학교,공립,구로구,고척동,1162
서울도림초등학교,공립,영등포구,신길동,750
서울도신초등학교,공립,영등포구,대림동,605
서울독산초등학교,공립,금천구,독산동,813
서울동구로초등학교,공립,구로구,구로동,612
